aces,doubleFautes,firstServe,firstServePointsWon,secondServePointsWon,breakPointsFaced,breakPointsSaved,serviceGamePlayed,serviceGamesWon,totalServicePointsWon,firstServeReturnPointsWon,secondServeReturnPointsWon,breakPointsOpportunities,breakPointsConverted,returnGamesPlayed,returnGamesWon,returnPointsWon,totalPointsWon,url,year
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/rik-de-voest/d424/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pavol-cervenak/ca22/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jan-minar/m800/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/juan-martin-aranguren/a502/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/inigo-cervantes/ca33/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/simon-stadler/s944/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alberto-brizzi/ba08/player-stats?year=2009&surfaceType=clay,2009
2,3,44%,64%,37%,9,44%,10,50%,49%,40%,48%,10,30%,10,30%,43%,46%,https://www.atptour.com/en/players/martin-klizan/k966/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/benjamin-balleret/b946/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alessio-di-mauro/d330/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/marcel-felder/f392/player-stats?year=2009&surfaceType=clay,2009
44,45,60%,65%,50%,125,70%,139,73%,59%,31%,48%,95,29%,137,20%,38%,49%,https://www.atptour.com/en/players/nicolas-devilder/d469/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jorge-aguilar/a457/player-stats?year=2009&surfaceType=clay,2009
0,5,61%,46%,28%,10,40%,7,14%,39%,28%,31%,5,20%,7,14%,29%,35%,https://www.atptour.com/en/players/marco-crugnola/c968/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/lester-cook/c768/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/igor-sijsling/sf36/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/antonio-veic/v564/player-stats?year=2009&surfaceType=clay,2009
6,3,61%,61%,66%,13,77%,15,80%,63%,27%,33%,3,33%,16,6%,29%,47%,https://www.atptour.com/en/players/amer-delic/d438/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andrea-stoppini/s842/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alexander-kudryavtsev/k596/player-stats?year=2009&surfaceType=clay,2009
0,1,63%,51%,36%,13,54%,11,45%,46%,35%,43%,6,50%,10,30%,39%,42%,https://www.atptour.com/en/players/giovanni-lapentti/l430/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dusan-lojda/l801/player-stats?year=2009&surfaceType=clay,2009
1,8,80%,54%,47%,41,59%,37,54%,52%,37%,52%,35,34%,40,30%,43%,48%,https://www.atptour.com/en/players/filippo-volandri/v254/player-stats?year=2009&surfaceType=clay,2009
9,6,59%,82%,35%,10,20%,24,67%,63%,30%,44%,13,46%,23,26%,36%,49%,https://www.atptour.com/en/players/daniel-munoz-de-la-nava/m915/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/nicolas-mahut/m873/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/prakash-amritraj/a487/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/tatsuma-ito/i230/player-stats?year=2009&surfaceType=clay,2009
3,2,61%,60%,55%,15,60%,17,65%,58%,32%,53%,15,33%,17,29%,41%,50%,https://www.atptour.com/en/players/michael-lammer/l523/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jonathan-dasnieres-de-veigy/d729/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/vincent-millot/me31/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/niels-desein/d752/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/philipp-oswald/o305/player-stats?year=2009&surfaceType=clay,2009
0,3,72%,61%,38%,5,20%,9,56%,54%,33%,50%,9,11%,9,11%,40%,45%,https://www.atptour.com/en/players/robin-vik/v247/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yuri-schukin/s809/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/ramon-delgado/d316/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/brydan-klein/k964/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ivan-sergeyev/se69/player-stats?year=2009&surfaceType=clay,2009
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/kyu-tae-im/i145/player-stats?year=2009&surfaceType=clay,2009
13,12,49%,75%,43%,30,60%,36,67%,59%,32%,48%,21,48%,36,28%,39%,50%,https://www.atptour.com/en/players/jean-rene-lisnard/l386/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/martin-fischer/f580/player-stats?year=2009&surfaceType=clay,2009
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/joao-souza/sg64/player-stats?year=2009&surfaceType=clay,2009
2,1,67%,54%,58%,8,38%,14,64%,55%,30%,43%,9,22%,13,15%,35%,46%,https://www.atptour.com/en/players/niels-desein/d752/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/thomas-schoorel/sj63/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/john-patrick-smith/sj55/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/marcelo-demoliner/d833/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alessandro-giannessi/g983/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/vincent-millot/me31/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/erik-chvojka/c918/player-stats?year=2013&surfaceType=clay,2013
1,4,69%,42%,50%,15,40%,16,44%,45%,47%,63%,14,64%,16,56%,50%,48%,https://www.atptour.com/en/players/pedro-sousa/s483/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/albano-olivetti/o411/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sam-groth/g940/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/matwe-middelkoop/mb88/player-stats?year=2013&surfaceType=clay,2013
4,4,66%,74%,55%,2,0%,10,80%,68%,18%,42%,3,33%,11,9%,29%,46%,https://www.atptour.com/en/players/bradley-klahn/ka98/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pavol-cervenak/ca22/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/david-guez/g753/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/eduardo-schwank/se66/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yannick-mertens/mg08/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/gregoire-burquier/bc36/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/brydan-klein/k964/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/denys-molchanov/mf71/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/pierre-hugues-herbert/h996/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/radu-albot/a829/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/nicolas-devilder/d469/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ti-chen/c813/player-stats?year=2013&surfaceType=clay,2013
6,3,60%,68%,51%,14,79%,18,83%,61%,19%,53%,6,67%,18,22%,35%,49%,https://www.atptour.com/en/players/guilherme-clezar/cc32/player-stats?year=2013&surfaceType=clay,2013
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/farrukh-dustov/d551/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/tennys-sandgren/sl08/player-stats?year=2013&surfaceType=clay,2013
6,8,62%,64%,37%,21,62%,21,62%,54%,35%,56%,11,55%,21,29%,42%,48%,https://www.atptour.com/en/players/maxime-teixeira/t999/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ivo-minar/ma41/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alejandro-gonzalez/g892/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/julio-cesar-campozano/c775/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/michael-yani/y070/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/stephane-robert/r612/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/marsel-ilhan/k771/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/jamie-baker/ba53/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/james-ward/w503/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/leonardo-kirche/k650/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/robert-farah/f525/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/adrian-menendez-maceiras/mb53/player-stats?year=2013&surfaceType=clay,2013
2,3,64%,64%,44%,26,77%,20,70%,57%,30%,43%,9,44%,20,20%,37%,48%,https://www.atptour.com/en/players/marco-trungelliti/ta29/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/donald-young/y124/player-stats?year=2013&surfaceType=clay,2013
1,2,65%,61%,47%,7,57%,8,63%,56%,17%,28%,3,0%,9,0%,22%,40%,https://www.atptour.com/en/players/gianluca-naso/n437/player-stats?year=2013&surfaceType=clay,2013
1,7,52%,63%,54%,18,50%,26,65%,58%,38%,51%,19,37%,26,27%,42%,50%,https://www.atptour.com/en/players/facundo-arguello/a941/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/aleksandr-nedovyesov/n503/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sergei-bubka/bc11/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/teymuraz-gabashvili/g681/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/bastian-knittel/k624/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sumit-nagal/n897/player-stats?year=2017&surfaceType=clay,2017
3,0,63%,57%,57%,5,40%,9,67%,57%,12%,24%,0,0%,9,0%,16%,39%,https://www.atptour.com/en/players/javier-marti/mi08/player-stats?year=2013&surfaceType=clay,2013
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/joao-pedro-sorgi/sk69/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/sanjar-fayziev/f786/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/dominik-meffert/m836/player-stats?year=2013&surfaceType=clay,2013
2,2,66%,64%,60%,7,71%,9,78%,63%,15%,37%,0,0%,10,0%,23%,44%,https://www.atptour.com/en/players/daniel-masur/mn20/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/yusuke-takahashi/tf58/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/ti-chen/c813/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/maxime-janvier/j620/player-stats?year=2017&surfaceType=clay,2017
2,6,61%,73%,24%,6,33%,10,60%,54%,23%,60%,7,29%,10,20%,38%,46%,https://www.atptour.com/en/players/benjamin-becker/b896/player-stats?year=2017&surfaceType=clay,2017
52,29,51%,78%,53%,34,62%,81,84%,66%,23%,50%,45,24%,83,13%,35%,50%,https://www.atptour.com/en/players/ernests-gulbis/g858/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/petr-michnev/mi33/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andrea-collarini/cc66/player-stats?year=2017&surfaceType=clay,2017
0,4,76%,55%,39%,9,33%,14,57%,51%,35%,41%,8,50%,13,31%,37%,45%,https://www.atptour.com/en/players/riccardo-bellotti/bh76/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/marcos-giron/gc88/player-stats?year=2017&surfaceType=clay,2017
45,36,62%,71%,52%,86,67%,143,80%,64%,25%,46%,73,26%,146,13%,33%,49%,https://www.atptour.com/en/players/tommy-haas/h355/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/kamil-majchrzak/mq75/player-stats?year=2017&surfaceType=clay,2017
8,1,49%,70%,61%,3,33%,13,85%,65%,20%,58%,9,22%,14,14%,35%,48%,https://www.atptour.com/en/players/agustin-velotti/v620/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/blaz-rola/ra51/player-stats?year=2017&surfaceType=clay,2017
6,6,45%,62%,44%,8,38%,11,55%,52%,37%,52%,16,25%,11,36%,42%,46%,https://www.atptour.com/en/players/inigo-cervantes/ca33/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/karim-mohamed-maamoun-/mj70/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/christian-harrison/hb05/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/liam-broady/bi23/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/viktor-galovic/gb61/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/james-mcgee/mg47/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/zdenek-kolar/kh56/player-stats?year=2017&surfaceType=clay,2017
0,0,0%,0%,0%,0,0%,0,0%,0%,0%,0%,0,0%,0,0%,0%,0%,https://www.atptour.com/en/players/laurynas-grigelis/ga71/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/alexander-sarkissian/sl07/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/goncalo-oliveira/o482/player-stats?year=2017&surfaceType=clay,2017
2,1,67%,67%,50%,10,70%,13,77%,61%,32%,33%,6,33%,14,14%,33%,47%,https://www.atptour.com/en/players/cem-ilkel/i306/player-stats?year=2017&surfaceType=clay,2017
2,6,53%,64%,45%,17,71%,15,67%,55%,36%,43%,14,21%,16,19%,38%,47%,https://www.atptour.com/en/players/marc-polmans/pg94/player-stats?year=2017&surfaceType=clay,2017
6,1,52%,49%,50%,14,50%,14,50%,49%,44%,31%,9,44%,15,27%,38%,44%,https://www.atptour.com/en/players/john-millman/mh30/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/federico-coria/ce77/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/blake-mott/mm79/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/andrea-arnaboldi/a622/player-stats?year=2017&surfaceType=clay,2017
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,https://www.atptour.com/en/players/lloyd-harris/hg86/player-stats?year=2017&surfaceType=clay,2017
